id,diedAt,country
HA0162,902,MACROREG-SYRIA
HA0163,890,MACROREG-SARABIA
HA0165,908,MACROREG-EGYPT
HA0165,908,MACROREG-RUM
HA0168,920,MACROREG-RUM
HA0169,914,MACROREG-SARABIA
HA0170,922,MACROREG-EGYPT
HA0171,922,MACROREG-EGYPT
HA0172,922,MACROREG-EGYPT
HA0173,923,MACROREG-SYRIA
HA0174,926,MACROREG-IRAN
HA0176,929,MACROREG-RUM
HA0177,926,MACROREG-RUM
HA0177,926,MACROREG-SYRIA
HA0178,940,MACROREG-IRAN
HA0178,940,MACROREG-RUM
HA0179,944,MACROREG-IRAN
HA0179,944,MACROREG-MAWARANNAHR
HA0180,956,MACROREG-RUM
HA0180,956,MACROREG-SYRIA
HA0181,957,MACROREG-EGYPT
HA0183,959,MACROREG-SYRIA
HA0184,960,MACROREG-SYRIA
HA0185,965,MACROREG-EGYPT
HA0185,965,MACROREG-RUM
HA0186,973,MACROREG-RUM
HA0187,975,MACROREG-RUM
HA0188,983,MACROREG-RUM
HA0188,983,MACROREG-SYRIA
HA0189,991,MACROREG-EGYPT
HA0190,993,MACROREG-RUM
HA0194,1000,MACROREG-EGYPT
HA0194,1000,MACROREG-RUM
HA0195,1014,MACROREG-RUM
HA0196,1016,MACROREG-RUM
HA0197,1026,MACROREG-EGYPT
HA0197,1026,MACROREG-RUM
HA0199,1029,MACROREG-RUM
HA0200,1029,MACROREG-RUM
HA0201,1006,MACROREG-SYRIA
HA0202,1014,MACROREG-RUM
HA0203,1030,MACROREG-SYRIA
HA0206,1041,MACROREG-EGYPT
HA0207,1047,MACROREG-MAGHRIB
HA0208,1047,MACROREG-SYRIA
HA0209,1048,MACROREG-ARABIA
HA0210,1048,MACROREG-ANDALUS
HA0211,1050,MACROREG-RUM
HA0213,1060,MACROREG-RUM
HA0214,1060,MACROREG-RUM
HA0215,1060,MACROREG-SARABIA
HA0216,1061,MACROREG-RUM
HA0217,1065,MACROREG-RUM
HA0218,1071,MACROREG-SARABIA
HA0220,1079,MACROREG-EGYPT
HA0221,1083,MACROREG-SARABIA
HA0222,1065,MACROREG-SARABIA
HA0223,1071,MACROREG-ARABIA
HA0223,1071,MACROREG-RUM
HA0223,1071,MACROREG-SARABIA
HA0224,1077,MACROREG-ARABIA
HA0224,1077,MACROREG-MAGHRIB
HA0225,1083,MACROREG-ARABIA
HA0226,1091,MACROREG-EGYPT
HA0227,1092,MACROREG-RUM
HA0228,1094,MACROREG-EGYPT
HA0228,1094,MACROREG-SYRIA
HA0229,1099,MACROREG-ARABIA
HA0230,1098,MACROREG-SYRIA
HA0231,1200,MACROREG-SYRIA
HA0232,1099,MACROREG-INDIA
HA0232,1099,MACROREG-SARABIA
HA0233,1100,MACROREG-RUM
HA0234,1101,MACROREG-ARABIA
HA0234,1101,MACROREG-IRAN
HA0235,1106,MACROREG-EGYPT
HA0237,1108,MACROREG-SYRIA
HA0238,1109,MACROREG-RUM
HA0239,1114,MACROREG-RUM
HA0240,1111,MACROREG-EGYPT
HA0240,1111,MACROREG-RUM
HA0241,1112,MACROREG-SYRIA
HA0242,1115,MACROREG-RUM
HA0243,1120,MACROREG-ARABIA
HA0243,1120,MACROREG-SYRIA
HA0244,1126,MACROREG-RUM
HA0244,1126,MACROREG-SYRIA
HA0245,1134,MACROREG-RUM
HA0246,1135,MACROREG-MAWARANNAHR
HA0247,1136,MACROREG-RUM
HA0248,1137,MACROREG-MAGHRIB
HA0249,1137,MACROREG-EGYPT
HA0250,1165,MACROREG-INDIA
HA0251,1186,MACROREG-SYRIA
HA0252,0,MACROREG-ARABIA
HA0253,1187,MACROREG-RUM
HA0254,1188,MACROREG-RUM
HA0255,1187,MACROREG-ARABIA
HA0256,1140,MACROREG-RUM
HA0257,1150,MACROREG-RUM
HA0258,1175,MACROREG-RUM
HA0259,1180,MACROREG-RUM
HA0260,1189,MACROREG-RUM
HA0261,1190,MACROREG-RUM
HA0261,1190,MACROREG-SYRIA
HA0262,1195,MACROREG-RUM
HA0263,1195,MACROREG-ARABIA
HA0264,1192,MACROREG-SYRIA
HA0265,1160,MACROREG-RUM
HA0266,1190,MACROREG-RUM
HA0267,1197,MACROREG-SYRIA
HA0268,1213,MACROREG-SARABIA
HA0270,1253,MACROREG-RUM
HA0272,1231,MACROREG-EGYPT
HA0273,1264,MACROREG-IRAN
HA0274,1206,MACROREG-RUM
HA0275,1265,MACROREG-EGYPT
HA0276,1276,MACROREG-EGYPT
HA0277,1228,MACROREG-ARABIA
HA0277,1228,MACROREG-RUM
HA0278,1262,MACROREG-IRAN
HA0279,1266,MACROREG-MAGHRIB
HA0280,1222,MACROREG-RUM
HA0281,1283,MACROREG-EGYPT
HA0282,1298,MACROREG-EGYPT
HA0283,1299,MACROREG-ARABIA
HA0283,1299,MACROREG-IRAQ
HA0284,1228,MACROREG-IRAN
HA0285,1281,MACROREG-SYRIA
HA0286,1293,MACROREG-RUM
HA0288,1260,MACROREG-RUM
HA0290,1258,MACROREG-RUM
HA0291,1247,MACROREG-ARABIA
HA0291,1247,MACROREG-RUM
