SOURCE,TARGET,TYPE
دير بازما,الدسكرة,undirected
الدسكرة,جلولا,undirected
جلولا,خانقين,undirected
هيت,الناووسة,undirected
الناووسة,عانة,undirected
عانة,آلوسة,undirected
آلوسة,الفحيمة,undirected
الفحيمة,الحديثة,undirected
الحديثة,النهية,undirected
حلوان,ماذرواستان,undirected
ماذرواستان,المرج,undirected
المرج,قصر يزيد,undirected
قصر يزيد,الزبيدية,undirected
الزبيدية,قصر عمرو,undirected
قصر عمرو,قرماسين,undirected
حلوان,قصر شيرين,undirected
قصر شيرين,خانقين,undirected
الأبلة,الخمازية,undirected
الأبلة,نهر دبا,undirected
نهر دبا,فم العضدى,undirected
واسط,بغداد,undirected
واسط,الكوفة,undirected
واسط,البصرة,undirected
واسط,حلوان,undirected
واسط,الأهواز,undirected
الموصل,مرجهينة,undirected
الموصل,بلد,undirected
الموصل,المحلبية,undirected
الموصل,مزارعى,undirected
مرجهينة,الحديثة,undirected
الحديثة,البقيعة,undirected
البقيعة,السن,undirected
بلد,برقعيد,undirected
برقعيد,أذرمة,undirected
أذرمة,المونسة,undirected
المونسة,نصيبين,undirected
نصيبين,دارا,undirected
المحلبية,الشحاجية,undirected
الشحاجية,تل اعفر,undirected
 تل اعفر,سنجار,undirected
مزارعى,معلثايا,undirected
معلثايا,الحسنية,undirected
الحسنية,ثمانين,undirected
ثمانين,جزيرة ابن عمر,undirected
جزيرة ابن عمر,تل فافان,undirected
الموصل,شهرزور,undirected
آمد,ميافارقين,undirected
ميافارقين,أرزن,undirected
أرزن,مسجد أويس,undirected
مسجد أويس,المعدن,undirected
المعدن,بدليس,undirected
بدليس,شمشاط,undirected
شمشاط,تل حوم,undirected
تل حوم,جرنان,undirected
جرنان,بامقرا,undirected
بامقرا,جلاب,undirected
جلاب,الرها,undirected
الرها,حران,undirected
حران,باجروان,undirected
باجروان,الرقة,undirected
الرحبة,قرقيسيا,undirected
قرقيسيا,الدالية,undirected
قرقيسيا,بئر,undirected
قرقيسيا,فدين,undirected
فدين,السكير,undirected
آمد,تل حور,undirected
تل حور,ملطين,undirected
ملطين,طبوس,undirected
طبوس,شمشاط,undirected
شمشاط,الفعونية,undirected
الفعونية,حصن زياد,undirected
حصن زياد,ملطين,undirected
ملطين,عرقة,undirected
عرقة,الصفصاف,undirected
الصفصاف,الرمانة,undirected
الرمانة,سمندو,undirected
سمندو,مرج قيسارية,undirected
مرج قيسارية,أنقرة,undirected
أنقرة,جسر شاغر,undirected
جسر شاغر,النقموذية,undirected
النقموذية,ملعب الملك,undirected
ملعب الملك,حارفة,undirected
حارفة,القسطنطينية,undirected
ميافارقين,موش,undirected
موش,قنب,undirected
قنب,سن نحاس,undirected
سن نحاس,قاليقلا,undirected
سن نحاس,ملازكرد,undirected
سن نحاس,موش,undirected
سن نحاس,الخالديات,undirected
سموقموش,قلونية العوفي,undirected
قلونية العوفي,نفشارية,undirected
نفشارية,عقبة الشهداء,undirected
عقبة الشهداء,الأفلاغونية,undirected
الأفلاغونية,السونشة,undirected
السونشة,بمولصة,undirected
بمولصة,بلد ابن السوانيطى,undirected
بلد ابن السوانيطى,دوسنية,undirected
قطابولى,بلد ابن الملاين,undirected
بلد ابن الملاين,البحيرة الحلوة,undirected
البحيرة الحلوة,حصن صاعس,undirected
حلب,بالس,undirected
حلب,قنسرين,undirected
حلب,الأثارب,undirected
حلب,منبج,undirected
انطاكية,الاذقية,undirected
منبج,الفرات,undirected
حمص,جوسية,undirected
جوسية,يعاث,undirected
يعاث,بعلبك,undirected
بعلبك,الزبداني,undirected
الزبداني,دمشق,undirected
حمص,شمسين,undirected
شمسين,قارا,undirected
قارا,البنك,undirected
البنك,القطيفة,undirected
القطيفة,دمشق,undirected
حمص,سلمية,undirected
سلمية,القسطل,undirected
القسطل,الزراعة,undirected
الزراعة,الرصافة,undirected
الرصافة,الرقة,undirected
حمص,حماة,undirected
حماة,شيزر,undirected
شيزر,كفرطاب,undirected
كفرطاب,قنسرين,undirected
قنسرين,حلب,undirected
دمشق,طرابلس,undirected
دمشق,بيروت,undirected
دمشق,صيدا,undirected
دمشق,بانياس,undirected
دمشق,الحوران,undirected
دمشق,البثنية,undirected
دمشق,أقصى الغوطة,undirected
دمشق,بيت سرعا,undirected
دمشق,الكسوة,undirected
دمشق,جاسم,undirected
جاسم,فيق,undirected
فيق,طبرية,undirected
بانياس,قدس,undirected
بانياس,جب يوسف,undirected
بيروت,صيدا,undirected
بيروت,طرابلس,undirected
طبرية,اللجون,undirected
طبرية,جب يوسف,undirected
طبرية,بيسان,undirected
طبرية,عقبة أفيق,undirected
طبرية,الجش,undirected
طبرية,كفركيلا,undirected
اللجون,قلنسوة,undirected
قلنسوة,الرملة,undirected
اللجون,كفرسابا,undirected
كفرسابا,الرملة,undirected
بيسان,تعاسير,undirected
تعاسير,نابلس,undirected
نابلس,بيت المقدس,undirected
جب يوسف,قرية العيون,undirected
قرية العيون,القرعون,undirected
القرعون,عين الحجر,undirected
عين الحجر,بعلبك,undirected
الجش,صور,undirected
صور,صيدا,undirected
صور,قدس,undirected
صور,مجدل سلم,undirected
مجدل سلم,بانياس,undirected
طبرية,عكا,undirected
جبل لبنان,نابلس,undirected
جبل لبنان,قدس,undirected
جبل لبنان,صيدا,undirected
جبل لبنان,صور نحو,undirected
الرملة,بيت المقدس,undirected
الرملة,بيت جبريل,undirected
الرملة,عسقلان,undirected
الرملة,السكرية,undirected
الرملة,نابلس,undirected
الرملة,كفر سلام,undirected
الرملة,مسجد إبراهيم,undirected
الرملة,اريحاء,undirected
الرملة,يافه,undirected
الرملة,الماحوز,undirected
الرملة,ارسوف,undirected
الرملة,ازدود,undirected
الرملة,رفح,undirected
بيت المقدس,بيت جبريل,undirected
بيت المقدس,مسجد إبراهيم,undirected
بيت المقدس,نهر الاردن,undirected
بيت المقدس,نابلس,undirected
بيت المقدس,اريحاء,undirected
غزة,بيت جبريل,undirected
غزة,ازدود,undirected
غزة,رفح,undirected
مسجد إبراهيم,قاووس,undirected
قاووس,صغر,undirected
نهر الاردن,عمان,undirected
نابلس,اريحاء,undirected
اريحاء,بيت الرام,undirected
بيت الرام,عمان,undirected
صغر,مآب,undirected
عميان,مآب,undirected
عميان,الزرقاء,undirected
الزرقاء,أذرعات,undirected
أذرعات,دمشق,undirected
قيسارية,كفرسلام,undirected
قيسارية,كفرسابا,undirected
قيسارية,ارسوف,undirected
قيسارية,الكنيسة,undirected
يافه,عسقلان,undirected
الفرما,البقارة,undirected
البقارة,الورادة,undirected
الورادة,العريش,undirected
العريش,رفح,undirected
الفرما,جرجير,undirected
جرجير,فاقوس,undirected
الفرما,الرصد,undirected
الرصد,فاقوس,undirected
الفرما,تنيس,undirected
تنيس,دمياط,undirected
دمياط,المحلة الكبيرة,undirected
المحلة الكبيرة,الاسكندرية,undirected
دمياط,سردوس,undirected
سردوس,الفسطاط,undirected
بلبيس,المنصف,undirected
المنصف,القلزم,undirected
الفرما,دير النصارى,undirected
دير النصارى,المخلصة,undirected
المخلصة,العريش,undirected
بلبيس,الفسطاط,undirected
الاسكندرية,الرافقة,undirected
الرافقة,كوم شريك,undirected
كوم شريك,ترنوط,undirected
ترنوط,ذات السلاسل,undirected
ذات السلاسل,الفسطاط,undirected
الاسكندرية,بومينه,undirected
بومينه,سفا,undirected
سفا,ارمسا,undirected
ارمسا,ذات الحمام,undirected
الاسكندرية,الغاضرة,undirected
الغاضرة,فاقوس,undirected
الفسطاط,بلبيس,undirected
بلبيس,المنصف,undirected
المنصف,القلزم,undirected
القلزم,جدة,undirected
الجب,البويب,undirected
البويب,منزل ابن بندقة,undirected
منزل ابن بندقة,عجرود,undirected
عجرود,المدينة,undirected
المدينة,الكرسي,undirected
الكرسي,الحفر,undirected
