URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii84	dihlī	dihlī	dihli	NaN	TOP	no comment
ii735	murād ii	murād ii	murad ii	NaN	PER	no comment
ii177	samarḳand	samarḳand	samarkand	NaN	TOP	no comment
ii1122	nuzhat al-ḳulūb	nuzhat al-ḳulūb	nuzhat al-kulub	NaN	BOK	no comment
ii300	d̲j̲umādā ii	d̲j̲umādā ii	jumada ii	NaN	TRM	no comment
ii495	muslims	muslims	muslims	NaN	GRP,REL	no comment
ii218866	nahr al-sulla	nahr al-sulla	nahr al-sulla	NaN	TOP	no comment
ii1566	ʿumar b. al-k̲h̲aṭṭāb	ʿumar b. al-k̲h̲aṭṭāb	umar b. al-khattab	NaN	PER	no comment
ii5728	baḥr	baḥr	bahr	NaN	TRM	no comment
ii9458	al-durar al-kāmina	al-durar al-kāmina	al-durar al-kamina	NaN	BOK	no comment
ii270	bāb	bāb	bab	NaN	TRM	no comment
ii197	grand vizier	grand vizier	grand vizier	NaN	TRM	no comment
ii13960	sirr al-asrār	sirr al-asrār	sirr al-asrar	NaN	REL,TRM	no comment
ii1873	qurʾān	qurʾān	quran	NaN	BOK	no comment
ii185	s̲h̲āh	s̲h̲āh	shah	NaN	TRM	no comment
ii1749	muṣṭafā kemāl	muṣṭafā kemāl	mustafa kemal	NaN	PER	no comment
ii1792	pas̲h̲as	pas̲h̲as	pashas	NaN	TRM	no comment
ii30983	kitāb al-taṣrīf	kitāb al-taṣrīf	kitab al-tasrif	NaN	BOK	no comment
ii846	yaʿḳūb	yaʿḳūb	yakub	NaN	PER	no comment
ii162	aristotle	aristotle	aristotle	NaN	PER	no comment
ii1734	fertile crescent	fertile crescent	fertile crescent	NaN	TOP	no comment
ii119	fāṭimids	fāṭimids	fatimids	NaN	DYN,GRP	no comment
ii218860	nahr al-zarḳā	nahr al-zarḳā	nahr al-zarka	NaN	TOP	no comment
ii1334	salonica	salonica	salonica	NaN	TOP	no comment
ii13943	ʿaḍud al-dīn al-īd̲j̲ī	ʿaḍud al-dīn al-īd̲j̲ī	adud al-din al-iji	NaN	PER	no comment
ii1909	maẓālim	maẓālim	mazalim	NaN	TRM	no comment
ii2461	naysābūr	naysābūr	naysabur	NaN	TOP	no comment
ii2166	fātiḥa	fātiḥa	fatiha	NaN	BOK,TRM	no comment
ii1859	al-muʿtazz	al-muʿtazz	al-mutazz	NaN	PER	no comment
ii898	sumatra	sumatra	sumatra	NaN	TOP	no comment
ii1347	amīr al-muʾminīn	amīr al-muʾminīn	amir al-muminin	NaN	TRM	no comment
ii2083	al-ḥakam	al-ḥakam	al-hakam	NaN	PER	no comment
ii2174	al-t̲h̲aʿlabī	al-t̲h̲aʿlabī	al-thalabi	NaN	NAM,PER	no comment
ii313	s̲h̲īʿa	s̲h̲īʿa	shia	NaN	GRP,REL	no comment
ii113769	abū yaʿḳūb yūsuf b. ibrāhīm al-sadrātī	abū yaʿḳūb yūsuf b. ibrāhīm al-sadrātī	abu yakub yusuf b. ibrahim al-sadrati	NaN	PER	no comment
ii536	hārūn	hārūn	harun	NaN	NAM	no comment
ii2320	oman	oman	oman	NaN	TOP	no comment
ii3827	indian national congress	indian national congress	indian national congress	NaN	GRP,POL,TOP	no comment
ii3856	d̲j̲amāl al-dīn	d̲j̲amāl al-dīn	jamal al-din	NaN	NAM,PER	no comment
ii672	abū ʿubayda	abū ʿubayda	abu ubayda	NaN	NAM	no comment
ii1767	ibn al-rūmī	ibn al-rūmī	ibn al-rumi	NaN	PER	no comment
ii35101	ṭabrisī	ṭabrisī	tabrisi	NaN	NAM,PER	no comment
ii4452	tād̲j̲īkistān	tād̲j̲īkistān	tajikistan	NaN	TOP	no comment
ii1989	midḥat pas̲h̲a	midḥat pas̲h̲a	midhat pasha	NaN	PER	no comment
ii389	faḳīh	faḳīh	fakih	NaN	REL,TRM	no comment
ii1209	s̲h̲āh ṭahmāsp	s̲h̲āh ṭahmāsp	shah tahmasp	NaN	PER	no comment
ii1159	falsafa	falsafa	falsafa	NaN	TRM	no comment
ii3654	al-muḳtadī	al-muḳtadī	al-muktadi	NaN	PER	no comment
ii253	mat̲h̲nawī	mat̲h̲nawī	mathnawi	NaN	BOK,TRM	no comment
ii5991	all-india muslim league	all-india muslim league	all-india muslim league	NaN	GRP	no comment
ii2225	k̲h̲irḳa	k̲h̲irḳa	khirka	NaN	TRM	no comment
ii30987	kitāb al-awāʾil	kitāb al-awāʾil	kitab al-awail	NaN	BOK	no comment
ii35214	ṭabbāk̲h̲	ṭabbāk̲h̲	tabbakh	NaN	NAM,SOC	no comment
ii695	ṣubḥ	ṣubḥ	subh	NaN	TRM	no comment
ii702	marīnids	marīnids	marinids	NaN	GRP	no comment
ii1678	mekka	mekka	mekka	NaN	TOP	no comment
ii1716	ʿumda	ʿumda	umda	NaN	TRM	no comment
ii3866	ṣafī al-dīn	ṣafī al-dīn	safi al-din	NaN	NAM	no comment
ii1098	ḥafṣids	ḥafṣids	hafsids	NaN	GRP	no comment
ii1731	inner asia	inner asia	inner asia	NaN	TOP	no comment
ii441	tamīm	tamīm	tamim	NaN	GRP,TRB	no comment
ii1442	bayt al-māl	bayt al-māl	bayt al-mal	NaN	ADM,ECN,TRM	no comment
ii2364	ʿuyūn al-ak̲h̲bār	ʿuyūn al-ak̲h̲bār	uyun al-akhbar	NaN	BOK	no comment
ii1343	al-muk̲h̲tār	al-muk̲h̲tār	al-mukhtar	NaN	PER	no comment
ii886	mālwā	mālwā	malwa	NaN	TOP	no comment
ii2188	abū hurayra	abū hurayra	abu hurayra	NaN	PER	no comment
ii3818	grand national assembly	grand national assembly	grand national assembly	NaN	GRP,POL	no comment
ii218846	nahr baradān	nahr baradān	nahr baradan	NaN	TOP	no comment
ii2323	fak̲h̲r al-dawla	fak̲h̲r al-dawla	fakhr al-dawla	NaN	NAM,PER	no comment
ii15127	s̲h̲araf al-mulk	s̲h̲araf al-mulk	sharaf al-mulk	NaN	NAM,PER	no comment
ii4067	ṭanṭā	ṭanṭā	tanta	NaN	TOP	no comment
ii37	europe	europe	europe	NaN	TOP	no comment
ii596	k̲h̲āns	k̲h̲āns	khans	NaN	TRM	no comment
ii3476	ʿabīd	ʿabīd	abid	NaN	TRM	no comment
ii3938	s̲h̲āpūr ii	s̲h̲āpūr ii	shapur ii	NaN	PER	no comment
ii38	yāḳūt	yāḳūt	yakut	NaN	PER,TRM	no comment
ii282	kurds	kurds	kurds	NaN	ETN,GRP	no comment
ii212	transoxania	transoxania	transoxania	NaN	TOP	no comment
ii345	caliph	caliph	caliph	NaN	POL,REL,TRM	no comment
ii2583	nabataeans	nabataeans	nabataeans	NaN	GRP	no comment
ii413	ḥaḍramawt	ḥaḍramawt	hadramawt	NaN	TOP	no comment
ii989	portugal	portugal	portugal	NaN	TOP	no comment
ii1707	s̲h̲ifāʾ	s̲h̲ifāʾ	shifa	NaN	TRM	no comment
ii555	k̲h̲ūzistān	k̲h̲ūzistān	khuzistan	NaN	TOP	no comment
ii1192	ḏj̲azīra	ḏj̲azīra	jazira	NaN	TOP	no comment
ii705	uṣūl	uṣūl	usul	NaN	TRM	no comment
ii1212	murād i	murād i	murad i	NaN	PER	no comment
ii88	kūfa	kūfa	kufa	NaN	TOP	no comment
ii96	s̲h̲aʿbān	s̲h̲aʿbān	shaban	NaN	TRM	no comment
ii14780	mīr ḳāsim	mīr ḳāsim	mir kasim	NaN	PER	no comment
ii3479	averroes	averroes	averroes	NaN	PER	no comment
ii1058	wahhābīs	wahhābīs	wahhabis	NaN	GRP	no comment
ii806	bāyezīd	bāyezīd	bayezid	NaN	PER	no comment
ii1085	baraka	baraka	baraka	NaN	TRM	no comment
ii1578	k̲h̲ayr al-dīn	k̲h̲ayr al-dīn	khayr al-din	NaN	NAM	no comment
ii123761	nahr ḥūrīt̲h̲	nahr ḥūrīt̲h̲	nahr hurith	NaN	TOP	no comment
ii4415	ṣūrat al-arḍ	ṣūrat al-arḍ	surat al-ard	NaN	BOK,TRM	no comment
ii6466	krenkow	krenkow	krenkow	NaN	PER	no comment
ii4078	s̲h̲āh ismāʿīl i	s̲h̲āh ismāʿīl i	shah ismail i	NaN	PER	no comment
ii1969	iṣlāḥ	iṣlāḥ	islah	NaN	TRM	no comment
ii2115	ḳapudan pas̲h̲a	ḳapudan pas̲h̲a	kapudan pasha	NaN	PER	no comment
ii4395	tudela	tudela	tudela	NaN	TOP	no comment
ii293	pand̲j̲āb	pand̲j̲āb	panjab	NaN	TOP	no comment
ii31036	imām al-muslimīn	imām al-muslimīn	imam al-muslimin	NaN	TRM	no comment
ii2297	ʿubayd allāh b. ziyād	ʿubayd allāh b. ziyād	ubayd allah b. ziyad	NaN	PER	no comment
ii1966	ḥassān	ḥassān	hassan	NaN	NAM	no comment
ii841	tangier	tangier	tangier	NaN	TOP	no comment
ii14620	ibn d̲j̲ahīr	ibn d̲j̲ahīr	ibn jahir	NaN	PER	no comment
ii4009	usāma	usāma	usama	NaN	NAM	no comment
ii2085	t̲h̲ābit	t̲h̲ābit	thabit	NaN	NAM,TRM	no comment
ii445	libya	libya	libya	NaN	TOP	no comment
ii5144	ʿabd al-raḥmān iii al-nāṣir	ʿabd al-raḥmān iii al-nāṣir	abd al-rahman iii al-nasir	NaN	PER	no comment
ii266	ptolemy	ptolemy	ptolemy	NaN	PER	no comment
ii644	toledo	toledo	toledo	NaN	TOP	no comment
ii684	al-mutanabbī	al-mutanabbī	al-mutanabbi	NaN	PER	no comment
ii442	rabat	rabat	rabat	NaN	TOP	no comment
ii1864	islamica	islamica	islamica	NaN	BOK	no comment
ii2072	lake van	lake van	lake van	NaN	TOP	no comment
ii1129	kinda	kinda	kinda	NaN	GRP	no comment
ii1106	sald̲j̲ūḳids	sald̲j̲ūḳids	saljukids	NaN	DYN,GRP	no comment
ii2127	ibn ḵh̲allikān	ibn ḵh̲allikān	ibn khallikan	NaN	PER	no comment
ii1507	buddhism	buddhism	buddhism	NaN	GRP,REL	no comment
ii2139	d̲j̲umādā	d̲j̲umādā	jumada	NaN	TRM	no comment
ii924	wādī	wādī	wadi	NaN	TRM	no comment
ii652	muʿtazilīs	muʿtazilīs	mutazilis	NaN	GRP	no comment
ii35213	al-naysābūrī	al-naysābūrī	al-naysaburi	NaN	NAM,PER	no comment
ii10075	mazdakism	mazdakism	mazdakism	NaN	GRP,REL	no comment
ii1512	barmakids	barmakids	barmakids	NaN	GRP	no comment
ii1841	justinian	justinian	justinian	NaN	PER	no comment
ii507	moses	moses	moses	NaN	NAM,PER	no comment
ii1046	copenhagen	copenhagen	copenhagen	NaN	TOP	no comment
ii574	al-muʿtaḍid	al-muʿtaḍid	al-mutadid	NaN	PER	no comment
ii562	lane	lane	lane	NaN	PER	no comment
ii2226	yazīdīs	yazīdīs	yazidis	NaN	GRP	no comment
ii982	al-ʿazīz	al-ʿazīz	al-aziz	NaN	PER	no comment
ii2210	al-maḳdisī	al-maḳdisī	al-makdisi	NaN	PER	no comment
ii953	samāʿ	samāʿ	sama	NaN	TRM	no comment
ii1945	rukn al-dawla	rukn al-dawla	rukn al-dawla	NaN	PER	no comment
ii73232	nahr bayrūt	nahr bayrūt	nahr bayrut	NaN	TOP	no comment
ii31232	averroës	averroës	averroes	NaN	PER	no comment
ii2068	almagest	almagest	almagest	NaN	BOK	no comment
ii736	s̲h̲arḥ	s̲h̲arḥ	sharh	NaN	TRM	no comment
ii218797	nahr sāsī	nahr sāsī	nahr sasi	NaN	TOP	no comment
ii2176	transylvania	transylvania	transylvania	NaN	TOP	no comment
ii150	ibn ḥawḳal	ibn ḥawḳal	ibn hawkal	NaN	PER	no comment
ii1446	hyderabad	hyderabad	hyderabad	NaN	TOP	no comment
ii2004	al-aʿs̲h̲ā	al-aʿs̲h̲ā	al-asha	NaN	TRM	no comment
ii45375	nahr ṣarṣar	nahr ṣarṣar	nahr sarsar	NaN	TOP	no comment
ii812	ibn durayd	ibn durayd	ibn durayd	NaN	PER	no comment
ii626	tripolitania	tripolitania	tripolitania	NaN	TOP	no comment
ii10	persia	persia	persia	NaN	TOP	no comment
ii15133	sald̲j̲ūḳs of kirmān	sald̲j̲ūḳs of kirmān	saljuks of kirman	NaN	DYN,GRP,TOP	no comment
ii272	granada	granada	granada	NaN	TOP	no comment
ii1219	ʿot̲h̲mān	ʿot̲h̲mān	othman	NaN	NAM	no comment
ii123765	nahr g̲h̲arrāf	nahr g̲h̲arrāf	nahr gharraf	NaN	TOP	no comment
ii4053	al-nad̲j̲af	al-nad̲j̲af	al-najaf	NaN	TOP	no comment
ii1596	k̲h̲ālid b. al-walīd	k̲h̲ālid b. al-walīd	khalid b. al-walid	NaN	PER	no comment
ii1822	hilāl	hilāl	hilal	NaN	TRM	no comment
ii29	al-ṭabarī	al-ṭabarī	al-tabari	NaN	PER	no comment
ii1761	barḳa	barḳa	barka	NaN	TOP	no comment
ii1850	lower egypt	lower egypt	lower egypt	NaN	TOP	no comment
ii642	rasāʾil	rasāʾil	rasail	NaN	TRM	no comment
ii2235	nābulus	nābulus	nabulus	NaN	TOP	no comment
ii4019	málaga	málaga	malaga	NaN	TOP	no comment
ii6380	zubayr	zubayr	zubayr	NaN	NAM	no comment
ii532	his̲h̲ām	his̲h̲ām	hisham	NaN	NAM	no comment
ii3614	sabab	sabab	sabab	NaN	TRM	no comment
ii879	d̲j̲āmī	d̲j̲āmī	jami	NaN	PER	no comment
ii3420	muftīs	muftīs	muftis	NaN	LAW,REL,TRM	no comment
ii3440	wahhābism	wahhābism	wahhabism	NaN	GRP,REL	no comment
ii523	kas̲h̲mīr	kas̲h̲mīr	kashmir	NaN	TOP	no comment
ii2234	avesta	avesta	avesta	NaN	BOK,REL	no comment
ii960	ṣanhād̲j̲a	ṣanhād̲j̲a	sanhaja	NaN	GRP	no comment
ii437	saudi arabia	saudi arabia	saudi arabia	NaN	TOP	no comment
ii665	g̲h̲aznawids	g̲h̲aznawids	ghaznawids	NaN	GRP	no comment
ii79	rad̲j̲ab	rad̲j̲ab	rajab	NaN	TRM	no comment
ii2202	barīd	barīd	barid	NaN	ADM,TRM	no comment
ii1676	abū yazīd	abū yazīd	abu yazid	NaN	NAM,PER	no comment
ii1063	nādir	nādir	nadir	NaN	NAM,PER	no comment
ii73231	nahr bāniyās	nahr bāniyās	nahr baniyas	NaN	TOP	no comment
ii1806	al-fusṭāṭ	al-fusṭāṭ	al-fustat	NaN	TOP	no comment
ii3804	al-ḥilla	al-ḥilla	al-hilla	NaN	TOP	no comment
ii1745	bāṭin	bāṭin	batin	NaN	TRM	no comment
ii5142	nis̲h̲āpūr	nis̲h̲āpūr	nishapur	NaN	TOP	no comment
ii1551	maʿnā	maʿnā	mana	NaN	TRM	no comment
ii927	tihāma	tihāma	tihama	NaN	TOP	no comment
ii4437	niebla	niebla	niebla	NaN	TOP	no comment
ii3669	kiev	kiev	kiev	NaN	TOP	no comment
ii3409	al-d̲j̲abartī	al-d̲j̲abartī	al-jabarti	NaN	PER	no comment
ii875	malik s̲h̲āh	malik s̲h̲āh	malik shah	NaN	PER	no comment
ii5624	ras̲h̲īd al-dīn faḍl allāh	ras̲h̲īd al-dīn faḍl allāh	rashid al-din fadl allah	NaN	PER	no comment
ii8609	ibn al-samḥ	ibn al-samḥ	ibn al-samh	NaN	PER	no comment
ii529	nūr al-dīn	nūr al-dīn	nur al-din	NaN	PER	no comment
ii1127	al-d̲j̲urd̲j̲ānī	al-d̲j̲urd̲j̲ānī	al-jurjani	NaN	PER	no comment
ii1148	kuwait	kuwait	kuwait	NaN	TOP	no comment
ii218799	nahr sābūs	nahr sābūs	nahr sabus	NaN	TOP	no comment
ii3931	dead sea	dead sea	dead sea	NaN	TOP	no comment
ii262	mahdī	mahdī	mahdi	NaN	REL,TRM	no comment
ii3079	manichaeism	manichaeism	manichaeism	NaN	GRP,REL	no comment
ii3499	zaydiyya	zaydiyya	zaydiyya	NaN	GRP,REL	no comment
ii111	china	china	china	NaN	TOP	no comment
ii2074	hinduism	hinduism	hinduism	NaN	GRP,REL	no comment
ii218835	nahr daḳlā	nahr daḳlā	nahr dakla	NaN	TOP	no comment
ii1478	ʿamal	ʿamal	amal	NaN	TRM	no comment
ii2322	al-maʿarrī	al-maʿarrī	al-maarri	NaN	NAM,PER	no comment
ii3859	ʿāmma	ʿāmma	amma	NaN	TRM	no comment
ii701	plato	plato	plato	NaN	PER	no comment
ii218767	nahr ṭuhyat̲h̲ā	nahr ṭuhyat̲h̲ā	nahr tuhyatha	NaN	TOP	no comment
ii1248	ismāʿīlism	ismāʿīlism	ismailism	NaN	GRP,REL	no comment
ii925	zanzibar	zanzibar	zanzibar	NaN	TOP	no comment
ii417	alexander	alexander	alexander	NaN	NAM,PER	no comment
ii2244	ṭāhā ḥusayn	ṭāhā ḥusayn	taha husayn	NaN	PER	no comment
ii2247	ḏj̲āhiliyya	ḏj̲āhiliyya	jahiliyya	NaN	HIS,TRM	no comment
ii1147	alamūt	alamūt	alamut	NaN	TOP	no comment
ii3814	west pakistan	west pakistan	west pakistan	NaN	TOP	no comment
ii1031	nigeria	nigeria	nigeria	NaN	TOP	no comment
ii218803	nahr saʿādat ḵh̲ān	nahr saʿādat ḵh̲ān	nahr saadat khan	NaN	TOP	no comment
ii2371	dimas̲h̲ḳ	dimas̲h̲ḳ	dimashk	NaN	TOP	no comment
ii856	nāṣir-i k̲h̲usraw	nāṣir-i k̲h̲usraw	nasir-i khusraw	NaN	PER	no comment
ii2391	mudarris	mudarris	mudarris	NaN	TRM	no comment
ii328	buldān	buldān	buldan	NaN	BOK,TRM	no comment
ii4381	kosovo	kosovo	kosovo	NaN	TOP	no comment
ii2538	holy land	holy land	holy land	NaN	TOP	no comment
ii537	mad̲j̲lis	mad̲j̲lis	majlis	NaN	REL,SOC,TRM	no comment
ii2107	kurdistan	kurdistan	kurdistan	NaN	TOP	no comment
ii3805	al-anbār	al-anbār	al-anbar	NaN	TOP	no comment
ii4048	western sahara	western sahara	western sahara	NaN	TOP	no comment
ii218762	nahr/māʾ/wādī al-sind	nahr/māʾ/wādī al-sind	nahr/ma/wadi al-sind	NaN	TOP	no comment
ii608	kurdistān	kurdistān	kurdistan	NaN	TOP	no comment
ii1689	ʿabd al-raḥmān ii	ʿabd al-raḥmān ii	abd al-rahman ii	NaN	PER	no comment
ii857	selīm	selīm	selim	NaN	PER	no comment
ii2248	abū ḥayyān al-tawḥīdī	abū ḥayyān al-tawḥīdī	abu hayyan al-tawhidi	NaN	PER	no comment
ii116	waḳf	waḳf	wakf	NaN	TRM	no comment
ii47706	seyāḥāt-nāme	seyāḥāt-nāme	seyahat-name	NaN	BOK	no comment
ii1558	ibn al-ʿadīm	ibn al-ʿadīm	ibn al-adim	NaN	PER	no comment
ii364	al-mutawakkil	al-mutawakkil	al-mutawakkil	NaN	PER	no comment
ii218871	nahr al-rummān	nahr al-rummān	nahr al-rumman	NaN	TOP	no comment
ii166	tafsīr	tafsīr	tafsir	NaN	BOK,TRM	no comment
ii5141	old cairo	old cairo	old cairo	NaN	TOP	no comment
ii67	jerusalem	jerusalem	jerusalem	NaN	TOP	no comment
ii835	ʿabd al-raḥmān iii	ʿabd al-raḥmān iii	abd al-rahman iii	NaN	PER	no comment
ii123764	nahr maysān	nahr maysān	nahr maysan	NaN	TOP	no comment
ii950	īrān	īrān	iran	NaN	TOP	no comment
ii1814	t̲h̲ābit b. ḳurra	t̲h̲ābit b. ḳurra	thabit b. kurra	NaN	PER	no comment
ii4282	muḥammad iḳbāl	muḥammad iḳbāl	muhammad ikbal	NaN	PER	no comment
ii1001	ibn ras̲h̲īḳ	ibn ras̲h̲īḳ	ibn rashik	NaN	PER	no comment
ii14677	aḥmad b. ismāʿīl	aḥmad b. ismāʿīl	ahmad b. ismail	NaN	PER	no comment
ii867	murcia	murcia	murcia	NaN	TOP	no comment
ii1238	farsak̲h̲	farsak̲h̲	farsakh	NaN	TRM	no comment
ii232	kaʿba	kaʿba	kaba	NaN	REL,TOP,TRM	no comment
ii737	abu ’l-faḍl	abu ’l-faḍl	abu l-fadl	NaN	PER	no comment
ii1646	aṣl	aṣl	asl	NaN	TRM	no comment
ii520	al-as̲h̲ʿarī	al-as̲h̲ʿarī	al-ashari	NaN	PER,REL	no comment
ii4046	talmud	talmud	talmud	NaN	BOK,REL	no comment
ii605	medrese	medrese	medrese	NaN	TRM	no comment
ii2300	ibn manẓūr	ibn manẓūr	ibn manzur	NaN	PER	no comment
ii2242	g̲h̲āzān k̲h̲ān	g̲h̲āzān k̲h̲ān	ghazan khan	NaN	PER	no comment
ii2299	siyāsat-nāma	siyāsat-nāma	siyasat-nama	NaN	BOK	no comment
ii110	algiers	algiers	algiers	NaN	TOP	no comment
ii268	ḳurays̲h̲	ḳurays̲h̲	kuraysh	NaN	GRP,TRB	no comment
ii15026	ḳuṭb al-dīn mawdūd	ḳuṭb al-dīn mawdūd	kutb al-din mawdud	NaN	PER	no comment
ii16456	batumi	batumi	batumi	NaN	TOP	no comment
ii218818	nahr līṭānī	nahr līṭānī	nahr litani	NaN	TOP	no comment
ii4158	barhebraeus	barhebraeus	barhebraeus	NaN	PER	no comment
ii8540	chinese islam	chinese islam	chinese islam	NaN	GRP,REL,TOP	no comment
ii4249	new testament	new testament	new testament	NaN	BOK,REL	no comment
ii876	ḳubba	ḳubba	kubba	NaN	TRM	no comment
ii28	turkey	turkey	turkey	NaN	TOP	no comment
ii696	ceuta	ceuta	ceuta	NaN	TOP	no comment
ii890	al-ḥarīrī	al-ḥarīrī	al-hariri	NaN	PER	no comment
ii399	sīra	sīra	sira	NaN	BOK,TRM	no comment
ii218769	nahr ḳuwayḳ	nahr ḳuwayḳ	nahr kuwayk	NaN	TOP	no comment
ii1721	turcomans	turcomans	turcomans	NaN	GRP	no comment
ii14760	gazetteer of persia	gazetteer of persia	gazetteer of persia	NaN	BOK	no comment
ii218867	nahr al-sinn	nahr al-sinn	nahr al-sinn	NaN	TOP	no comment
ii30	medina	medina	medina	NaN	TOP	no comment
ii40619	nahr al-kalb	nahr al-kalb	nahr al-kalb	NaN	TOP	no comment
ii3457	asmāʾ	asmāʾ	asma	NaN	TRM	no comment
ii1070	atatürk	atatürk	ataturk	NaN	PER	no comment
ii2443	mug̲h̲al india	mug̲h̲al india	mughal india	NaN	DYN,GRP,POL,TOP	no comment
ii4139	tād̲j̲ al-dīn	tād̲j̲ al-dīn	taj al-din	NaN	NAM,PER	no comment
ii35200	matthews	matthews	matthews	NaN	NAM,PER	no comment
ii80	s̲h̲arīʿa	s̲h̲arīʿa	sharia	NaN	REL,TRM	no comment
ii394	england	england	england	NaN	TOP	no comment
ii205	al-bakrī	al-bakrī	al-bakri	NaN	PER	no comment
ii218838	nahr danū	nahr danū	nahr danu	NaN	TOP	no comment
ii3747	ḳiṣṣa	ḳiṣṣa	kissa	NaN	LIT,TRM	no comment
ii156	k̲h̲ān	k̲h̲ān	khan	NaN	TRM	no comment
ii870	edinburgh	edinburgh	edinburgh	NaN	TOP	no comment
ii849	al-d̲h̲ahabī	al-d̲h̲ahabī	al-dhahabi	NaN	PER	no comment
ii439	ṭabaristān	ṭabaristān	tabaristan	NaN	TOP	no comment
ii1967	ʿarabiyya	ʿarabiyya	arabiyya	NaN	TRM	no comment
ii218889	nahr al-aswad	nahr al-aswad	nahr al-aswad	NaN	TOP	no comment
ii53	k̲h̲urāsān	k̲h̲urāsān	khurasan	NaN	TOP	no comment
ii107	ibn k̲h̲aldūn	ibn k̲h̲aldūn	ibn khaldun	NaN	PER	no comment
ii1033	iraq	iraq	iraq	NaN	TOP	no comment
ii57	jews	jews	jews	NaN	ETN,GRP,REL	no comment
ii1978	ḳūmis	ḳūmis	kumis	NaN	TOP	no comment
ii2571	g̲h̲ulāms	g̲h̲ulāms	ghulams	NaN	TRM	no comment
ii1808	s̲h̲ahristān	s̲h̲ahristān	shahristan	NaN	TOP	no comment
ii3422	philippines	philippines	philippines	NaN	TOP	no comment
ii31301	abū yazīd al-nukkārī	abū yazīd al-nukkārī	abu yazid al-nukkari	NaN	PER	no comment
ii3883	abū kālīd̲j̲ār	abū kālīd̲j̲ār	abu kalijar	NaN	NAM,PER	no comment
ii892	ibn ʿabbās	ibn ʿabbās	ibn abbas	NaN	PER	no comment
ii1151	turkish republic	turkish republic	turkish republic	NaN	TOP	no comment
ii5627	al-kalābād̲h̲ī	al-kalābād̲h̲ī	al-kalabadhi	NaN	PER	no comment
ii1169	meḥmed	meḥmed	mehmed	NaN	NAM	no comment
ii140	afg̲h̲ānistān	afg̲h̲ānistān	afghanistan	NaN	TOP	no comment
ii542	romans	romans	romans	NaN	ETN,GRP,TOP	no comment
ii3930	filasṭīn	filasṭīn	filastin	NaN	TOP	no comment
ii847	al-ʿabbās	al-ʿabbās	al-abbas	NaN	PER	no comment
ii30986	kitāb al-istiḳṣāʾ	kitāb al-istiḳṣāʾ	kitab al-istiksa	NaN	BOK	no comment
ii2494	fatāwā	fatāwā	fatawa	NaN	LAW,REL,TRM	no comment
ii299	venice	venice	venice	NaN	TOP	no comment
ii858	dāg̲h̲istān	dāg̲h̲istān	daghistan	NaN	TOP	no comment
ii1230	al-nawawī	al-nawawī	al-nawawi	NaN	PER	no comment
ii159	al-g̲h̲azālī	al-g̲h̲azālī	al-ghazali	NaN	PER	no comment
ii762	leo africanus	leo africanus	leo africanus	NaN	PER	no comment
ii3570	rasāʾil ik̲h̲wān al-ṣafāʾ	rasāʾil ik̲h̲wān al-ṣafāʾ	rasail ikhwan al-safa	NaN	BOK	no comment
ii797	türbe	türbe	turbe	NaN	TRM	no comment
ii848	miskawayh	miskawayh	miskawayh	NaN	PER	no comment
ii2568	al-farrāʾ	al-farrāʾ	al-farra	NaN	NAM,PER	no comment
ii4411	āḳā muḥammad k̲h̲ān	āḳā muḥammad k̲h̲ān	aka muhammad khan	NaN	PER	no comment
ii258	bengal	bengal	bengal	NaN	TOP	no comment
ii2078	kitāb al-ag̲h̲ānī	kitāb al-ag̲h̲ānī	kitab al-aghani	NaN	BOK	no comment
ii436	ibn rus̲h̲d	ibn rus̲h̲d	ibn rushd	NaN	PER	no comment
ii480	iḳṭāʿ	iḳṭāʿ	ikta	NaN	ECN,POL,TRM	no comment
ii663	tekke	tekke	tekke	NaN	TRM	no comment
ii1095	d̲j̲udda	d̲j̲udda	judda	NaN	TOP	no comment
ii1608	ziyāra	ziyāra	ziyara	NaN	TRM	no comment
ii47652	abū baṭṭa	abū baṭṭa	abu batta	NaN	PER	no comment
ii5150	al-muntaẓam	al-muntaẓam	al-muntazam	NaN	BOK	no comment
ii1768	companions of the prophet	companions of the prophet	companions of the prophet	NaN	TRM	no comment
ii4404	ḏj̲ibāl	ḏj̲ibāl	jibal	NaN	TOP,TRM	no comment
ii13988	anglo-persian oil company	anglo-persian oil company	anglo-persian oil company	NaN	ECN,GRP	no comment
ii4506	ibn farḥūn	ibn farḥūn	ibn farhun	NaN	PER	no comment
ii1479	sunan	sunan	sunan	NaN	TRM	no comment
ii1732	ḏh̲u ’l-ḳaʿda	ḏh̲u ’l-ḳaʿda	dhu l-kada	NaN	TRM	no comment
ii5244	libās	libās	libas	NaN	TRM	no comment
ii35124	van donzel	van donzel	van donzel	NaN	PER	no comment
ii4226	habsburgs	habsburgs	habsburgs	NaN	DYN,GRP,TOP	no comment
ii2539	hamburg	hamburg	hamburg	NaN	TOP	no comment
ii390	imāmate	imāmate	imamate	NaN	REL,TRM	no comment
ii1261	atabeg	atabeg	atabeg	NaN	TRM	no comment
ii1468	nawrūz	nawrūz	nawruz	NaN	TRM	no comment
ii330	muslim spain	muslim spain	muslim spain	NaN	TOP	no comment
ii1387	r. blachère	r. blachère	r. blachere	NaN	PER	no comment
