URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii467	g̲h̲azna	g̲h̲azna	ghazna	NaN	TOP	no comment
ii1846	mulūk al-ṭawāʾif	mulūk al-ṭawāʾif	muluk al-tawaif	NaN	DYN,POL,TRM	no comment
ii218886	nahr al-dad̲j̲ād̲j̲	nahr al-dad̲j̲ād̲j̲	nahr al-dajaj	NaN	TOP	no comment
ii221	sunnīs	sunnīs	sunnis	NaN	GRP,REL	no comment
ii358	niẓām al-mulk	niẓām al-mulk	nizam al-mulk	NaN	PER	no comment
ii740	mali	mali	mali	NaN	TOP	no comment
ii37570	nahr al-nīl	nahr al-nīl	nahr al-nil	NaN	TOP	no comment
ii113743	abū ḥayyan	abū ḥayyan	abu hayyan	NaN	PER	no comment
ii2054	ḳarmaṭīs	ḳarmaṭīs	karmatis	NaN	GRP,REL	no comment
ii1211	as̲h̲ʿarīs	as̲h̲ʿarīs	asharis	NaN	GRP	no comment
ii249	ʿumān	ʿumān	uman	NaN	TOP	no comment
ii8395	čingiz-ḵh̲ān	čingiz-ḵh̲ān	cingiz-khan	NaN	PER	no comment
ii218821	nahr k̲h̲ud̲j̲and	nahr k̲h̲ud̲j̲and	nahr khujand	NaN	TOP	no comment
ii35	ottomans	ottomans	ottomans	NaN	DYN,GRP	no comment
ii3869	luḳmān	luḳmān	lukman	NaN	NAM,PER	no comment
ii113603	al-barrāḍ b. ḳays	al-barrāḍ b. ḳays	al-barrad b. kays	NaN	PER	no comment
ii1327	sinai	sinai	sinai	NaN	TOP	no comment
ii3918	ibn nubāta	ibn nubāta	ibn nubata	NaN	PER	no comment
ii641	baḥrayn	baḥrayn	bahrayn	NaN	TOP	no comment
ii4434	black africa	black africa	black africa	NaN	TOP	no comment
ii2192	mamlūk egypt	mamlūk egypt	mamluk egypt	NaN	GRP,POL,TOP	no comment
ii357	futūḥ	futūḥ	futuh	NaN	BOK,TRM	no comment
ii13895	lesser zāb	lesser zāb	lesser zab	NaN	TOP	no comment
ii612	ibn abī uṣaybiʿa	ibn abī uṣaybiʿa	ibn abi usaybia	NaN	PER	no comment
ii13962	philippopolis	philippopolis	philippopolis	NaN	TOP	no comment
ii554	ḥād̲j̲ib	ḥād̲j̲ib	hajib	NaN	TRM	no comment
ii1389	ibn iyās	ibn iyās	ibn iyas	NaN	PER	no comment
ii4211	archimedes	archimedes	archimedes	NaN	PER	no comment
ii3387	gospels	gospels	gospels	NaN	BOK,REL	no comment
ii3559	cordoba	cordoba	cordoba	NaN	TOP	no comment
ii4261	faḳīhs	faḳīhs	fakihs	NaN	GRP,LAW,REL,TRM	no comment
ii697	al-aṣmaʿī	al-aṣmaʿī	al-asmai	NaN	PER	no comment
ii30954	k̲h̲ūy	k̲h̲ūy	khuy	NaN	TOP	no comment
ii986	pākistān	pākistān	pakistan	NaN	TOP	no comment
ii35199	nicholas	nicholas	nicholas	NaN	NAM,PER	no comment
ii661	id̲j̲tihād	id̲j̲tihād	ijtihad	NaN	TRM	no comment
ii218775	nahr ḥimṣ	nahr ḥimṣ	nahr hims	NaN	TOP	no comment
ii460	abraham	abraham	abraham	NaN	NAM,PER	no comment
ii443	cyprus	cyprus	cyprus	NaN	TOP	no comment
ii1277	alif	alif	alif	NaN	TRM	no comment
ii1869	basmala	basmala	basmala	NaN	TRM	no comment
ii4296	diocletian	diocletian	diocletian	NaN	PER	no comment
ii1250	meknès	meknès	meknes	NaN	TOP	no comment
ii4336	ḥāmid	ḥāmid	hamid	NaN	NAM,PER	no comment
ii628	udabāʾ	udabāʾ	udaba	NaN	TRM	no comment
ii855	british museum	british museum	british museum	NaN	TOP	no comment
ii231	al-bīrūnī	al-bīrūnī	al-biruni	NaN	PER	no comment
ii5632	ibn al-rāwandī	ibn al-rāwandī	ibn al-rawandi	NaN	PER	no comment
ii1779	bāyazīd	bāyazīd	bayazid	NaN	NAM	no comment
ii969	bayt	bayt	bayt	NaN	TRM	no comment
ii3873	ʿabd al-mad̲j̲īd	ʿabd al-mad̲j̲īd	abd al-majid	NaN	NAM,PER	no comment
ii274	ṣalāḥ al-dīn	ṣalāḥ al-dīn	salah al-din	NaN	PER	no comment
ii458	ʿamr	ʿamr	amr	NaN	NAM	no comment
ii2455	al-g̲h̲azzālī	al-g̲h̲azzālī	al-ghazzali	NaN	NAM,PER	no comment
ii3908	al-ʿaynī	al-ʿaynī	al-ayni	NaN	PER	no comment
ii1753	madras	madras	madras	NaN	TOP	no comment
ii113794	abū kāmil s̲h̲ud̲j̲āʿ	abū kāmil s̲h̲ud̲j̲āʿ	abu kamil shuja	NaN	PER	no comment
ii218825	nahr henzīṭ	nahr henzīṭ	nahr henzit	NaN	TOP	no comment
ii198	ayyūbid	ayyūbid	ayyubid	NaN	DYN,GRP	no comment
ii4292	abū ʿalī al-fārisī	abū ʿalī al-fārisī	abu ali al-farisi	NaN	PER	no comment
ii243	k̲h̲uṭba	k̲h̲uṭba	khutba	NaN	REL,TRM	no comment
ii218853	nahr al-ḳuwayḳ	nahr al-ḳuwayḳ	nahr al-kuwayk	NaN	TOP	no comment
ii1756	zuhd	zuhd	zuhd	NaN	TRM	no comment
ii410	rūm	rūm	rum	NaN	TOP	no comment
ii218812	nahr nāt̲h̲ān	nahr nāt̲h̲ān	nahr nathan	NaN	TOP	no comment
ii1301	maḳālāt	maḳālāt	makalat	NaN	TRM	no comment
ii865	cilicia	cilicia	cilicia	NaN	TOP	no comment
ii35054	fīrūzābādī	fīrūzābādī	firuzabadi	NaN	NAM,PER	no comment
ii163	euphrates	euphrates	euphrates	NaN	TOP	no comment
ii3430	saracens	saracens	saracens	NaN	GRP	no comment
ii1278	astarābād	astarābād	astarabad	NaN	TOP	no comment
ii372	ibn taymiyya	ibn taymiyya	ibn taymiyya	NaN	PER,REL	no comment
ii113801	abū dahbal al-ḏj̲umaḥī	abū dahbal al-ḏj̲umaḥī	abu dahbal al-jumahi	NaN	PER	no comment
ii196	fās	fās	fas	NaN	TOP	no comment
ii218801	nahr sidra	nahr sidra	nahr sidra	NaN	TOP	no comment
ii1898	s̲h̲ihāb al-dīn	s̲h̲ihāb al-dīn	shihab al-din	NaN	NAM	no comment
ii411	al-ḥasan	al-ḥasan	al-hasan	NaN	PER	no comment
ii1502	k̲h̲īwa	k̲h̲īwa	khiwa	NaN	TOP	no comment
ii415	muʿtazila	muʿtazila	mutazila	NaN	GRP	no comment
ii3534	ibn wāṣil	ibn wāṣil	ibn wasil	NaN	PER	no comment
ii4086	majorca	majorca	majorca	NaN	TOP	no comment
ii144	nisba	nisba	nisba	NaN	TRM	no comment
ii71	mongols	mongols	mongols	NaN	ETN,GRP	no comment
ii836	s̲h̲āh ʿabbās i	s̲h̲āh ʿabbās i	shah abbas i	NaN	PER	no comment
ii15157	maʿmar b. rās̲h̲id	maʿmar b. rās̲h̲id	mamar b. rashid	NaN	PER	no comment
ii1384	wilāya	wilāya	wilaya	NaN	TRM	no comment
