node_without_coord,nearest_coords
جوبين وملين,"[['ANDAKHUDH_651E369N_S', 1], ['FARIYAB_649E364N_S', 2]]"
الكرسي,"[['MADINA_396E244N_S', 1], ['QUBA_395E244N_S', 2]]"
نفرة,"[['HUWARA_004E355N_S', 1], ['SAMMURA_057W414N_S', 1]]"
تعاسير,"[['BAYSAN_354E325N_S', 1], ['TABARIYYA_355E327N_S', 2]]"
الغريفة,"[['QURAKIR_377E313N_S', 1], ['HASHIYYA_398E314N_S', 1]]"
أستراباذ,"[['ABASKUN_540E370N_S', 1], ['SARIYA_531E365N_S', 1]]"
السونشة,"[['QALUNIYAAWFI_384E403N_S', 4], ['SINNNUHAS_416E393N_S', 5]]"
تلخاب,"[['WARTHAN_476E395N_S', 1], ['BARZAND_478E389N_S', 1]]"
بمولصة,"[['QALUNIYAAWFI_384E403N_S', 5], ['SINNNUHAS_416E393N_S', 6]]"
قنوان,"[['MARJWA-ZAHR_509E330N_S', 1], ['JARBADHAQAN_502E333N_S', 1]]"
كراباذ,"[['BANJAWAY_654E315N_S', 1], ['RIBATHAJARIYYA_658E313N_S', 2]]"
ماءين,"[['KHUSIKAN_524E305N_S', 1], ['MAIN_526E301N_S', 2]]"
خان,"[['BASINNA_483E319N_S', 1], ['DAWRAQ_489E308N_R', 1]]"
السقیا,"[['HAJR_467E246N_S', 2], ['SULAYMA_473E241N_S', 3]]"
السرین,"[['QARN_402E214N_S', 1], ['MAKKA_398E213N_S', 2]]"
سبخة منهوسا,"[['QASRATISH_181E305N_S', 1], ['YAHUDIYYATAYN_177E307N_S', 2]]"
عين العصافير,"[['DUFANA_066E354N_S', 1], ['BILIZMA_061E356N_S', 2]]"
وردراغ,"[['KARDAR_597E428N_S', 1], ['MAZDAKHKAN_595E423N_S', 2]]"
اشبورقان,"[['SIDRA_662E368N_S', 1], ['YAHUDIYYA_648E359N_S', 2]]"
زبید,"[['JUBLAN_436E142N_S', 1]]"
الغاضرة,"[['FAQUS_317E307N_S', 1], ['ISKANDARIYYA_299E311N_S', 1]]"
وفراوندة,"[['DARAQAN_487E334N_S', 1], ['KARAJ_495E338N_R', 1]]"
مرج قيسارية,[]
كنيسة المجوس,"[['RISHAHR_502E303N_S', 2], ['ZAYTUN_503E305N_S', 2]]"
بیشة,"[['JUSADA_427E195N_S', 1], ['TABALA_424E200N_S', 1]]"
دهك,"[['RIBATKARUDIN_631E313N_S', 1], ['HARURI_623E312N_S', 1]]"
كه,"[['MADHAR_678E353N_S', 1], ['BAMIYAN_678E348N_R', 1]]"
جرش/یبنبم,"[['BANATJARM_427E192N_O', 1], ['JUSADA_427E195N_S', 2]]"
الاسحاقية,"[['AHWAZ_486E313N_R', 1], ['SHURAB_487E312N_S', 2]]"
المدائن,"[['BAGHDAD_443E333N_S', 1], ['SIB_448E329N_S', 1]]"
وادی القری,"[['HAJR_467E246N_S', 1], ['SULAYMA_473E241N_S', 2]]"
كيلين,"[['RAYY_515E356N_S', 1], ['QUSTANA_510E354N_S', 2]]"
اوبران,"[['SULUQ_202E314N_S', 1], ['BARNIQ_200E321N_S', 2]]"
مهدي آباذ,"[['FAZ_622E373N_S', 1], ['BAHIRABADH_624E368N_S', 1]]"
خاس,"[['GHARDAMAN_603E418N_S', 2], ['SHURAKHAN_609E415N_S', 2]]"
ابادان,"[['SARIYA_531E365N_S', 2], ['ABASKUN_540E370N_S', 3]]"
زيادواذ,"[['ISTAKHR_529E299N_S', 2], ['HARA_621E343N_R', 2]]"
بسابك,"[['DAHLIZAN_499E307N_S', 1], ['RISHAHR_502E303N_S', 2]]"
أقصى الغوطة,"[['DIMASHQ_363E335N_S', 1], ['HIT_428E336N_S', 2]]"
المخلصة,"[['DAYRNASARA_330E311N_S', 1], ['ARISH_045W323N_S', 1]]"
بامهر,"[['ASAK_496E307N_S', 1], ['DAYRA_493E307N_S', 2]]"
موسى آباذ,"[['BARZA_462E365N_S', 1], ['JABRAWAN_456E369N_S', 2]]"
بوراب,"[['SAGHANIYAN_678E382N_R', 1], ['SAMARQAND_670E396N_S', 2]]"
البحيرة الحلوة,[]
درهفان,"[['JIRUFT_578E286N_S', 1], ['KHABR_563E288N_S', 2]]"
