name,lat,lng,status
أمير,null,null,null
نوباغ,59.81853,42.2688,old
سيراف,52.34306,27.69666,old
كورستان,null,null,null
قرین,null,null,null
العرج,39.20944,23.85851,old
راذان,54.70209,30.12067,old
بوزجان,60.61524,35.17917,old
السيلحين,44.06385,33.41382,old
زنجان,48.5053,36.66235,old
بيكند,64.07172,39.55752,old
بندق,null,null,null
عسفان,39.46144,21.88079,old
الورادة,33.54242,31.06734,old
الحفر,null,null,null
مجانة,null,null,null
التيز,60.63196,25.38207,old
سلوق,20.24835,31.4018,old
مرسية,-1.11443,37.99945,old
رباط خواران,65.33793,38.54277,old
عبادان,48.27394,30.33563,old
سجلماسة,-4.23723,31.27819,old
طبرقة,8.81185,36.91556,old
كدروا,54.67346,29.16368,old
بهار,56.35225,29.8855,old
الرحبة,36.48835,27.67097,old
باغلى,null,null,null
يلملم,40.08231,20.84741,old
غمرة,40.84007,21.89675,old
أستراباذ,54.050026166599935,36.87886743638605,new
أمج,null,null,null
كردر,59.79383,42.80533,old
یثرب,null,null,null
قرية ابن بندار,53.0309,30.13418,old
معدن الفضة,null,null,null
نيسابور,58.79841,36.12138,old
المعلاة,null,null,null
البقارة,33.12566,31.02385,old
دير العاقول,44.9846,32.91181,old
هنته,null,null,null
صامغر,null,null,null
الخرقان,45.98591,37.72041,old
خاوس,null,null,null
طراز,71.44044,42.83695,old
ناكور,-3.90859,35.22154,old
قصدار على الساحل في طول مكران ?,null,null,null
بزدة,65.44949,39.03468,old
كاريان,53.70323,28.05935,old
النهروان,44.59405,33.43161,old
كلنا,null,null,null
وادي فره,null,null,null
منخوس,null,null,null
عرقة,43.71306,17.31174,old
الجرجانية,59.21993,42.45632,old
قنسرين,37.02701,35.99617,old
كفرسابا,34.88134,32.17778,old
شراخان,60.94019,41.50228,old
خنكل اباذ,null,null,null
كرج ابى دلف,null,null,null
ورامين,null,null,null
ماردة,-6.32886,38.89521,old
كازرون,51.68412,29.60743,old
فرزين,56.77211,29.95407,old
صور نحو,null,null,null
رباط عبد الله,null,null,null
قسطان,null,null,null
الدارين,50.19373,26.28437,old
اريحاء,null,null,null
ربنجن,66.37226,39.86785,old
المحلة الكبيرة,31.14662,30.97329,old
كالف,66.31581,37.37958,old
ديبل,67.69101,24.43756,old
جبل طارق,null,null,null
خبيص,57.75292,30.46232,old
بيسان,35.49256,32.5,old
خرسان,null,null,null
شرف البعل,35.19783,28.9426,old
المسدودة,null,null,null
باراب سار,null,null,null
باس وجكين,null,null,null
بجانة,-2.41826,36.95657,old
غزنين,68.40733,33.56409,old
دات العشر,null,null,null
آزر,49.32084566569305,31.26704461431865,new
اوبران,null,null,null
الفعونية,39.52810686629045,38.687258466386346,new
أرومية,null,null,null
بئر الجمالين,null,null,null
فاس,-5.02852,34.06727,old
كش,66.84071,39.03102,old
دارا,40.94689,37.18527,old
نرماسير,58.64795,28.98436,old
قلعة يونس,null,null,null
الکلایة,null,null,null
ألهان,44.07982,14.80399,old
اسك,49.69307,30.7313,old
شذونة,-5.91433,36.4664,old
قزدار,null,null,null
بخارا,64.43240697290018,39.78912615374851,new
لاه وكره,null,null,null
كتانة,10.27879,33.69175,old
فارياب,64.93938,36.46025,old
رباط عتيق,65.02339,39.44667,old
عانة,41.95904,34.43481,old
أثافت,43.97249,16.11174,old
سنكان,59.41155,35.05003,old
برزيان,null,null,null
سندان,73.01422,19.90633,old
أوفه,63.16814,34.4094,old
السوس,48.26047,32.20166,old
سروستان,53.20589,29.25713,old
هوارة,0.442,35.55078,old
دبيل,44.68562,40.16468,old
اسداواذ,null,null,null
جور,52.58324,28.84797,old
كول,null,null,null
سمیراء,null,null,null
الفتق,41.28101,21.44752,old
نهر الملك,44.50953,32.94875,old
سالوس,51.45535,36.60408,old
خجندة,69.63107,40.24606,old
بدر,44.72906,13.87387,old
امزه,64.25722,39.90472,old
سابور,51.51624,29.83157,old
تاهرت,1.36504,35.36971,old
قصر الريح,59.129,36.03203,old
الرصد,null,null,null
قلعة ابن كندمان,45.1678,41.56808,old
دير النصارى,null,null,null
جلولا,45.11759,34.17989,old
نهر الشاش,68.81698254038791,40.53949452845208,new
الطواويس,64.78279,40.01136,old
ساباط,null,null,null
فاقوس,31.79581,30.71061,old
الباميان,67.80206,34.84737,old
حصن مهدى,48.33301,30.52571,old
أقصى الغوطة,null,null,null
أرزن,41.65964,37.9789,old
خليص,39.41808,22.10557,old
قرية الأسد,53.84828,31.55774,old
برذعة,47.23624,40.45334,old
قرن,40.21296,21.46576,old
القيروان,10.14137,35.70049,old
مهربان,50.25090587847364,30.131696466727444,new
قصور حسان,15.87924,31.25883,old
بیشة,null,null,null
خوار الرى,null,null,null
قرية الرمان,52.80644,29.37477,old
أذرمة,41.72002,36.99109,old
السقیا,null,null,null
