URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
fārs	fārs	fārs	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
chinese	chinese	chinese	TYPE	LAT	LON	China	35.86166	104.195397	Black	Eastern Asia	35.6566975	116.813873	Black
cambridge	cambridge	cambridge	TYPE	LAT	LON	United Kingdom	55.378051	-3.435973	Black	Northern Europe	59.73217858333334	4.6369705833333335	Black
algiers	algiers	algiers	TYPE	LAT	LON	Algeria	28.033886	1.659626	Black	North Africa	26.278070285714282	9.92387657142857	Black
china	china	china	TYPE	LAT	LON	China	35.86166	104.195397	Black	Eastern Asia	35.6566975	116.813873	Black
byzantines	byzantines	byzantines	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
algeria	algeria	algeria	TYPE	LAT	LON	Algeria	28.033886	1.659626	Black	North Africa	26.278070285714282	9.92387657142857	Black
constantinople	constantinople	constantinople	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
leipzig	leipzig	leipzig	TYPE	LAT	LON	Germany	51.165691	10.451526	Black	Western Europe	48.3439821111111	7.589095333333335	Black
tunisia	tunisia	tunisia	TYPE	LAT	LON	Tunisia	33.886917	9.537499	Black	North Africa	26.278070285714282	9.92387657142857	Black
alexandria	alexandria	alexandria	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
greeks	greeks	greeks	TYPE	LAT	LON	Greece	39.074208	21.824312	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
cordova	cordova	cordova	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
german	german	german	TYPE	LAT	LON	Germany	51.165691	10.451526	Black	Western Europe	48.3439821111111	7.589095333333335	Black
arabian	arabian	arabian	TYPE	LAT	LON	Saudi Arabia	23.885942	45.079162	Black	Western Asia and Middle East	30.25399288235294	43.9889675882353	Black
