name,lat,lng,status
BAQIA_373E322N_S,32.21167,37.32662,old
KANDAK_667E383N_S,38.37384,66.78829,old
ازميران,null,null,null
BASAND_672E382N_S,38.21375,67.24396,old
SINIZ_502E299N_S,29.92283,50.27838,old
ASADABADH_626E362N_S,36.29294,62.67861,old
SIRJAN_557E294N_R,29.46102,55.74854,old
QARMASIN_470E343N_S,34.32388,47.09845,old
NASHAWA_453E393N_S,39.34739,45.37660,old
ISKANDARIYYA_299E311N_S,31.19490,29.90981,old
بارجاخ,null,null,null
HAJIR_417E259N_S,25.96910,41.75129,old
قصر عمرو,34.29330294849967,47.144053758220366,new
JURJIR_321E309N_S,30.91373,32.19454,old
FARAMA_325E310N_S,31.02282,32.59811,old
KHASU_544E285N_S,28.51610,54.40794,old
MARWA_385E257N_S,25.71785,38.58647,old
JUHFA_391E226N_S,22.60833,39.12422,old
BATNNAKHL_400E248N_R,24.85968,40.00579,old
IMMARA_431E253N_S,25.37319,43.14710,old
QARUN_357E335N_S,33.57083,35.71229,old
نوكباغ,null,null,null
QURAY_417E315N_S,31.51068,41.79330,old
برمست,null,null,null
الصليق,null,null,null
JARKAN_517E300N_S,30.09815,51.78402,old
SISAR_469E353N_S,35.31623,46.98439,old
BALUR_520E358N_S,35.81911,52.06670,old
ملحة,null,null,null
AMMAN_359E319N_S,31.93113,35.91903,old
بلد ابن الملاين,null,null,null
KARUKH_625E344N_S,34.47814,62.54651,old
قصر الدرق,null,null,null
الرصد,null,null,null
KHANRUSHAN_520E312N_S,31.25559,52.02871,old
كثة,null,null,null
الخوزية,null,null,null
FARIYAB_649E364N_S,36.46025,64.93938,old
مدین,null,null,null
KASHAN_645E358N_S,35.88354,64.54957,old
BARDHAA_472E404N_S,40.45334,47.23624,old
غزنين,33.24088215460212,69.29712798398864,new
TURTHITH_584E351N_S,35.13557,58.41130,old
KURDAKAN_556E297N_S,29.79365,55.67825,old
خواص,null,null,null
المونسة,37.02383147403883,41.47051424000037,new
العسكر,31.689028676812473,48.77322100451575,new
HIMS_367E347N_S,34.73793,36.72425,old
MASHKA_639E274N_S,27.46467,63.94609,old
باغلى,null,null,null
SINN_434E352N_S,35.26076,43.46591,old
ديمس,39.96756029086364,64.52438055246577,new
قرية القاضي,null,null,null
QANDABIL_674E286N_S,28.62665,67.48191,old
AWNID_359E270N_S,27.00533,35.99173,old
KHANIQIN_454E343N_S,34.34844,45.44708,old
USFAN_394E218N_S,21.88079,39.46144,old
NASAFAN_448E140N_R,14.02916,44.84320,old
QURAKIR_377E313N_S,31.32585,37.75187,old
TUZ_422E267N_S,26.71435,42.29198,old
NAZWA_575E228N_S,22.86309,57.52541,old
خوزن,null,null,null
TALLHUM_397E381N_S,38.19784,39.75447,old
رباط علياباذ,null,null,null
KHAYSAR_625E342N_S,34.27292,62.58466,old
RAMA_434E257N_S,25.77608,43.42920,old
AJARUD_323E300N_S,30.05828,32.38039,old
قلعة الحسن بن علي,null,null,null
KAFARTAB_366E355N_S,35.50744,36.61239,old
RAYDA_440E158N_S,15.83194,44.04470,old
RIBATKARUDIN_631E313N_S,31.38151,63.14407,old
ISTAKHR_529E299N_S,29.97008,52.92548,old
تبسة,null,null,null
FUDAYN_405E354N_S,35.41480,40.59626,old
شاوكث,null,null,null
زيادواذ,null,null,null
اشبورقان,null,null,null
وفراوندة,null,null,null
NUBAGH_598E422N_S,42.26880,59.81853,old
جعاد وجورد,null,null,null
اوبران,null,null,null
ARJ_392E238N_O,23.85851,39.20944,old
RASSIKR_528E297N_S,29.77510,52.87257,old
HAMA_367E351N_S,35.12587,36.76872,old
RAKAH_485E344N_S,34.42798,48.54618,old
المعلاة,null,null,null
BAYTJIBRIL_348E316N_S,31.60564,34.88059,old
كرج ابى دلف,null,null,null
نهر سليمان,null,null,null
SIMNAN_534E354N_S,35.49513,53.40856,old
شاباوك,null,null,null
نهر الشاش,40.979229634684735,68.79895973941208,new
AZILA_059W355N_S,35.58306,-5.97486,old
QASRSHAMMAS_263E313N_S,31.32418,26.37011,old
نورين,null,null,null
MAWRUR_054W371N_S,37.14029,-5.48272,old
حبس,null,null,null
ZAYTUNA_101E343N_S,34.35352,10.10538,old
DAYBUL_676E244N_S,24.43756,67.69101,old
يثرب,null,null,null
عونید,null,null,null
الخالديات,null,null,null
HANIYYARUM_288E308N_S,30.80549,28.85190,old
العونید,null,null,null
BITAN_432E287N_S,28.74899,43.27579,old
بستان بنى عامر,null,null,null
HARA_621E343N_R,34.33419,62.15235,old
SHAMAKHIYYA_486E406N_S,40.67871,48.68505,old
SALILA_412E243N_S,24.34402,41.22235,old
MAH_522E280N_S,28.05331,52.28050,old
JUWISULAYMAN_581E281N_S,28.12851,58.18338,old
BILBAYS_315E304N_S,30.41776,31.57097,old
BAGHIRQAN_612E414N_S,41.43986,61.27533,old
RIBATDIHISTAN_546E382N_S,38.26671,54.61471,old
بدوخكث,null,null,null
TIZ_606E253N_S,25.38207,60.63196,old
قرية خاست,null,null,null
BASHAN_623E342N_S,34.28751,62.37698,old
ADHRIAT_360E326N_S,32.61046,36.09087,old
ARISH_045W323N_S,32.30201,-4.52149,old
DASTAJIRDA_666E368N_S,36.83340,66.64110,old
TAQ_621E306N_S,30.68777,62.12651,old
AMUL_635E390N_S,39.06795,63.51255,old
كوستان,null,null,null
